Benchmarking M=256 K=1024 N=4096 Sparsity=0.450000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
107986700 	353320700 	109242900 	711775600 	314420500 	90877800 	380707600 	1175108100 	647431300 	12923900 	
107520000 	312302500 	109729900 	727499000 	314773400 	90913400 	378598400 	1171170300 	650311300 	13312800 	
105771800 	291382500 	116013500 	715472400 	311683400 	95174400 	374698000 	1153629900 	659248700 	13188600 	
99791700 	282938300 	112577700 	737653600 	315028300 	90412100 	386966600 	1146300500 	662300700 	13004400 	
107232000 	279708400 	109652100 	740824800 	316950500 	93939600 	382079700 	1187187000 	646583000 	13026000 	
106005200 	288684200 	108494700 	734264400 	311416300 	91412100 	378486500 	1167656500 	643282600 	13004000 	
109064700 	279430300 	110534800 	741132300 	308693900 	92384300 	380408200 	1168910900 	659824900 	13395000 	
108589000 	267556100 	110665500 	726478600 	313464700 	91734600 	377386600 	1157326300 	674087200 	13017200 	
1089	2961	1110	7365	3128	918	3790	11649	6536	131	ms
1.00	0.37	0.98	0.15	0.35	1.19	0.29	0.09	0.17	8.31	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.750000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
98663800 	226009600 	94269200 	751816600 	285059900 	91135200 	331258900 	1146399000 	609571300 	13398800 	
105416800 	244504500 	86866000 	747757100 	279934700 	82030400 	312559700 	1151075800 	591942000 	11251100 	
110289100 	281777300 	94679900 	721857900 	280820000 	77353700 	317930700 	1158448800 	588428200 	11262700 	
105698400 	226300800 	93567100 	724898400 	283856000 	77731400 	317421100 	1177289900 	591689900 	11472300 	
109294700 	237853900 	93465800 	738729800 	283387400 	76437000 	322711400 	1170407700 	617429100 	11370400 	
98458100 	232975500 	93049400 	721556500 	304977600 	98137700 	314775300 	1150639700 	635914000 	11349800 	
106156900 	209740900 	92194400 	723309800 	278111000 	77176000 	337639000 	1164742400 	589463000 	11396100 	
109181500 	258361100 	92163600 	726759600 	285792900 	76187700 	318891800 	1172761900 	593945500 	11492200 	
108334800 	251685200 	92600300 	722378200 	284607700 	78179900 	319580300 	1157621300 	586715200 	11665200 	
107192500 	229621200 	93912800 	717843500 	284061500 	78530100 	313517500 	1181710500 	600988900 	11648000 	
1058	2398	926	7296	2850	812	3206	11631	6006	116	ms
1.00	0.44	1.14	0.15	0.37	1.30	0.33	0.09	0.18	9.10	speedup
Benchmarking M=512 K=2048 N=8192 Sparsity=0.800000 Variation=0.050000 
PyTorchDense	PyTorchSpCSC	EigenSparse	RSRPP_FP32	SSR_VEC_TREE	TCSC_FP32	EigenSpars_INT8	RSRPP_INT8	SSR_TREE_INT8	TCSC_INT8	
102363000 	185674000 	77017900 	741812200 	251025400 	64860000 	251151000 	1158776700 	516102400 	9260600 	
108466200 	196838700 	76807900 	746984300 	248601200 	62241000 	253277500 	1182563100 	517842000 	10055400 	
107657600 	214766200 	75729100 	721393900 	277956800 	68540300 	256118100 	1143197500 	545257500 	13866500 	
108291600 	242147700 	78958100 	728895600 	250192000 	65354800 	253236000 	1143007400 	528730800 	9246400 	
